0,0,263
0,14,1064
0,120,1609
0,262,3
0,494,44
0,510,66
0,3186,63
0,3198,1478
0,3267,428
0,3284,341
0,3310,183
0,3318,138
0,3331,103
0,3337,141
0,3349,65
0,3355,94
0,3358,209
0,3364,114
0,3445,856
0,3494,190
0,3505,367
0,3527,259
0,3533,284
0,3547,1333
0,3621,3
0,3633,165
0,3640,116
0,3653,153
0,3674,146
0,3685,182
0,3692,202
0,3701,190
0,3732,71
0,3733,173
0,3746,127
0,3751,396
0,3783,852
1,0,266
1,2,27
1,14,908
1,49,203
1,80,411
1,89,306
1,120,981
1,133,245
1,267,11
1,335,383
1,397,207
1,410,159
1,448,703
1,552,1141
1,3008,279
1,3108,86
1,3112,107
1,3171,1167
1,3215,506
1,3394,17
1,3502,231
1,3530,300
1,3616,581
2,1,173
3,1,173
4,2,7
4,14,1182
4,120,2129
5,3,19
5,6,1556
5,284,504
5,313,627
5,353,493
5,412,608
5,434,531
5,451,610
5,485,610
5,549,304
5,577,83
5,597,446
5,618,925
5,677,773
5,806,275
5,3537,252
5,3701,7
5,3828,21
6,4,244
6,6,565
6,13,125
6,54,177
6,75,383
6,91,234
6,108,257
6,138,369
6,144,389
6,153,179
6,157,146
6,169,360
6,183,177
6,246,789
6,247,209
6,254,42
6,264,46
6,267,181
6,270,1
6,327,1383
6,485,160
6,502,237
6,528,4
6,532,1713
6,549,304
6,571,218
6,577,83
6,597,445
6,618,925
6,645,140
6,677,45
6,802,195
6,2160,188
6,2802,263
6,2996,538
6,3028,8
6,3144,227
6,3504,18
6,3512,7
6,3537,1275
6,3547,360
6,3565,16
6,3653,61
6,3670,397
6,3674,146
6,3783,101
6,3811,379
6,4861,10
6,4940,39
6,5120,291
6,5135,562
7,5,97
7,132,99
7,136,68
7,236,231
7,409,95
7,715,3254
7,963,198
7,1099,82
7,1242,90
7,1296,13
7,1324,58
7,1957,61
7,1978,20
7,3832,54
7,3994,247
7,4012,366
7,4256,29
7,4289,45
7,4545,83
7,4631,208
7,4815,44
7,4834,38
7,4849,4
7,4862,76
7,4868,29
7,4871,9
7,4878,115
7,4879,67
7,4886,144
7,4896,53
7,4932,87
7,4942,29
7,4948,285
7,4965,6
7,4996,26
7,4997,275
7,5003,133
7,5019,160
7,5020,142
7,5023,25
7,5038,47
7,5066,34
7,5071,25
7,5075,24
7,5092,115
7,5093,17
7,5095,132
8,3,8
8,39,181
8,230,1367
9,6,62
10,6,12
10,7,112
10,13,15
10,14,72
11,5,1370
11,132,99
11,136,67
11,236,231
11,715,3206
11,1099,82
11,1242,90
11,1324,14
11,1957,4
11,1978,4
11,3832,54
11,3994,247
11,4012,366
11,4256,29
11,4289,46
11,4545,53
11,4631,208
11,4815,44
11,4834,37
11,4849,4
11,4862,76
11,4868,29
11,4871,9
11,4878,115
11,4879,43
11,4886,144
11,4896,53
11,4932,41
11,4942,29
11,4948,285
11,4965,6
11,4996,26
11,4997,275
11,5003,133
11,5019,160
11,5020,141
11,5023,25
11,5038,47
11,5066,33
11,5071,25
11,5075,24
11,5092,115
11,5093,17
11,5095,132
12,4,244
12,37,215
12,290,71
12,502,172
12,603,214
12,738,986
12,3239,156
12,3251,71
12,3288,373
12,3309,53
12,3321,328
12,3357,260
12,3367,265
12,3537,426
12,3583,129
12,3599,172
12,3611,228
12,3641,128
12,3653,153
12,3674,146
12,3685,182
12,3692,202
12,3701,190
12,3732,71
12,3733,173
12,3746,127
12,3751,396
12,3783,852
13,8,24
13,21,434
13,174,1438
13,189,201
13,2686,81
14,9,173
15,8,31
15,21,433
15,174,1439
15,189,201
16,10,9
17,2,4
17,14,17
18,9,173
19,7,294
19,36,259
19,677,52
19,698,15
19,1206,10
19,3223,42
19,5021,136
19,5031,287
19,5042,181
19,5053,1694
19,5088,865
20,11,169
21,7,294
21,36,260
22,12,384
23,3,6
23,3250,2230
24,13,4
25,6,413
25,13,3
25,290,2974
25,868,527
25,983,839
25,1065,553
25,1114,739
26,12,28
26,22,2
26,31,62
27,0,28
27,267,25
28,15,576
28,143,200
29,16,33
29,37,39
29,52,5
29,65,442
29,78,96
29,87,25
29,187,37
29,199,204
29,3632,152
30,6,129
30,14,51
30,17,14
30,27,44
30,42,84
30,49,255
30,237,38
30,263,57
30,642,6
30,675,93
30,885,46
30,1067,57
30,1111,15
30,1138,7
30,1523,94
30,1530,61
30,1561,18
30,1571,17
30,2799,29
30,2811,16
30,4288,203
30,4370,18
30,4371,417
30,4397,68
30,4400,182
30,4417,16
30,4437,194
30,4451,38
31,12,28
31,22,2
31,31,62
32,18,140
33,6,20
33,122,16
33,213,294
33,270,15
33,313,170
33,353,38
33,412,251
33,451,340
33,1468,8
33,1951,8
33,3245,6
33,3250,495
33,3298,60
33,3397,35
33,3425,638
33,3461,2
34,6,2248
34,49,209
34,147,172
34,259,170
34,270,241
34,303,258
34,317,587
34,348,7
34,349,251
34,371,10
34,386,292
34,432,81
34,461,326
34,481,140
34,532,1672
34,538,112
34,738,27
34,1773,1245
34,2734,677
34,3217,208
34,3261,311
34,3357,260
34,3367,318
34,3414,120
34,3434,2
34,3440,550
34,3468,175
34,3490,10
34,3491,224
34,3649,343
34,3666,274
34,3680,438
34,3688,587
34,3741,520
34,3775,428
34,3803,144
34,3813,155
34,3822,246
34,3964,292
34,3983,104
35,19,451
35,76,453
36,0,386
36,49,203
